0.020255064	0.014555837	0.00949408	0.011754206	0.02073197	0.013522127	0.022420868	0.024073824	0.023933263	0.0	0.0	0.0
0.033930199	0.035750455	0.049482351	0.033288605	0.057959093	0.053194853	0.053008116	0.052381506	0.053684306	0.0	0.0	0.0
0.117344547	0.120584432	0.121574275	0.094065923	0.123912084	0.116191141	0.133522454	0.151030453	0.159568011	0.0	0.0	0.0
0.179100613	0.141803164	0.188449836	0.186667351	0.173088289	0.250363165	0.357986029	0.330180171	0.46651464	0.0	0.0	0.0
0.099398981	0.142674681	0.300098636	0.663286786	0.464524933	0.494571398	0.553727344	0.749931089	1.053948039	0.0	0.0	0.0
0.058850877	0.299284669	0.701179317	0.818420383	1.170289441	1.036101095	1.093766324	1.441635408	2.513212474	0.0	0.0	0.0
0.533513161	1.697987551	2.068532204	2.327893	2.246755038	2.215547223	2.625163862	3.415367695	6.146642343	0.0	0.0	0.0
1.751111035	4.340157767	3.469740916	3.829332234	3.37530252	3.815825504	5.362200485	9.369460112	15.814133356	0.0	0.0	0.0
3.48887593	5.2678612	3.186552157	3.285104638	3.268987672	5.173248995	6.778855401	15.154204539	25.148890684	0.0	0.0	0.0
2.506594146	1.693315039	2.795802812	3.394691826	3.67462403	3.068730338	6.328469603	36.990684707	35.178934169	0.0	0.0	0.0
8.48099642	9.085887458	7.38903876	6.016405836	8.113718226	19.901658439	39.719893329	55.525963064	92.937835213	0.0	0.0	0.0
26.136872224	24.048662309	20.269237001	23.129621371	32.624539347	53.428773194	83.311929873	110.610489876	375.622020303	0.0	0.0	0.0
