-1.0	0.032147431	1.0253483662276e-310
0.066146884	0.082680027	1.45314271789175e-310
0.170664363	0.272224522	1.02534836643157e-310
0.565529311	0.970757281	1.02534836643315e-310
1.543447217	-1.0	1.4259811718607e-311
3.777948356	6.483084745	9.981868203088e-311
12.198449295	20.565800231	1.4531427176862e-310
31.079779304	44.355066168	1.5482081294029e-310
40.826226453	48.881445698	1.0253483662276e-310
102.726553408	139.924659632	3.32e-321
268.246553885	1.425981173916e-311	2.3873e-320
555.13910348	1.0185579796997e-310	1.4259811718607e-311
