0.001538624	0.002562335	0.005201573	-1.0	0.009449567	0.007765972
0.005121013	0.00574808	0.006495008	0.008089523	0.011892717	0.022974442
0.012282863	0.013631915	0.016231624	0.036451181	0.035002689	-1.0
-1.0	0.032024863	0.044283573	0.062834362	0.110042751	0.241758793
0.056081306	0.077311677	0.139315075	-1.0	-1.0	0.91133345
0.160008992	0.210068613	0.279082288	0.608540591	1.282623968	5.025739556
0.439947071	0.593681371	0.908420428	2.279412186	3.353962362	6.391039751
0.946673845	1.900883321	2.40964879	4.90227432	8.132449048	1.918797777
2.377378977	3.58320018	6.74562162	10.090646276	8.303540095	49.283001161
5.107744844	7.731346142	15.301074867	7.436450566	42.560727783	113.274626691
11.282696141	15.712405559	23.281897159	76.172692765	113.740773453	185.547570479
21.771925014	39.623857033	83.705598309	143.607500872	494.924122322	0.0
